Team,Season,Week,Rank_Scoring_Offense,Current_Season_Scoring_Offense,Last 3_Scoring_Offense,Last 1_Scoring_Offense,At_Home_Scoring_Offense,Away_Scoring_Offense,Previous_Season_Scoring_Offense,Rank_Total_Offense,Current_Season_Total_Offense,Last 3_Total_Offense,Last 1_Total_Offense,At_Home_Total_Offense,Away_Total_Offense,Previous_Season_Total_Offense,Rank_Scoring_Defense,Current_Season_Scoring_Defense,Last 3_Scoring_Defense,Last 1_Scoring_Defense,At_Home_Scoring_Defense,Away_Scoring_Defense,Previous_Season_Scoring_Defense,Rank_Total_Defense,Current_Season_Total_Defense,Last 3_Total_Defense,Last 1_Total_Defense,At_Home_Total_Defense,Away_Total_Defense,Previous_Season_Total_Defense,Rank_Turnovers_Given,Current_Season_Turnovers_Given,Last 3_Turnovers_Given,Last 1_Turnovers_Given,At_Home_Turnovers_Given,Away_Turnovers_Given,Previous_Season_Turnovers_Given,Rank_Turnovers_Taken,Current_Season_Turnovers_Taken,Last 3_Turnovers_Taken,Last 1_Turnovers_Taken,At_Home_Turnovers_Taken,Away_Turnovers_Taken,Previous_Season_Turnovers_Taken,Rank_Last_5,Rating_Last_5,Hi_Last_5,Low_Last_5,Last_Last_5,Rank_Neutral_Site,Rating_Neutral_Site,Hi_Neutral_Site,Low_Neutral_Site,Last_Neutral_Site,Rank_SoS,Rating_SoS,Hi_SoS,Low_SoS,Last_SoS
S Carolina,2016,9,124,16.9,20.3,34.0,20.3,12.3,21.9,118,317.4,363.7,395.0,350.8,273.0,355.2,25,21.3,26.7,28.0,23.8,18.0,27.9,54,394.7,388.7,389.0,421.3,359.3,433.7,68,1.6,2.3,2.0,1.8,1.3,1.4,24,2.0,2.3,4.0,2.8,1.0,1.8,91,-8.2,5,92,82,71,--,3,99,72,58,-1.4,3,67,34
Kansas,2016,9,125,16.2,16.7,20.0,21.3,11.0,13.2,114,330.5,380.3,454.0,385.3,275.7,309.3,122,42.0,39.0,44.0,35.0,49.0,46.5,102,468.7,433.7,482.0,448.0,489.3,569.7,128,3.8,4.0,3.0,3.3,4.3,2.0,62,1.5,2.0,1.0,2.0,1.0,1.6,116,-19.9,35,120,117,115,--,48,117,115,94,-7.6,71,127,96
San Jose St,2016,9,126,16.0,11.3,3.0,16.0,16.0,26.7,120,313.4,275.7,209.0,307.7,317.8,379.4,111,36.7,28.7,42.0,26.0,44.8,28.4,84,444.3,382.7,460.0,381.3,491.5,372.9,100,2.0,1.0,0.0,2.0,2.0,1.4,89,1.3,1.7,1.0,2.0,0.8,1.0,125,-26.2,70,125,121,117,--,78,121,117,106,-10.5,32,113,113
Buffalo,2016,9,127,14.7,16.0,7.0,21.3,8.0,24.5,121,310.3,389.7,338.0,365.3,255.3,379.1,104,35.3,39.7,44.0,31.7,39.0,28.8,110,479.0,503.0,511.0,480.7,477.3,426.5,25,1.2,1.7,4.0,0.7,1.7,1.8,81,1.3,1.3,1.0,1.7,1.0,1.5,126,-28.3,101,128,124,119,--,83,121,118,121,-14.5,99,127,120
Rutgers,2016,9,128,13.7,13.0,32.0,12.8,15.0,23.8,128,278.4,265.3,372.0,289.3,264.0,362.3,119,40.6,45.3,34.0,36.0,46.7,36.9,95,455.0,439.7,399.0,434.3,482.7,486.8,100,2.0,3.0,3.0,2.0,2.0,1.5,100,1.1,1.3,2.0,1.0,1.3,1.4,118,-21.0,74,125,119,94,--,77,118,100,74,-3.8,2,85,85
Louisville,2016,10,1,50.0,36.7,32.0,52.8,47.3,27.3,1,603.3,510.0,508.0,553.8,652.8,404.2,30,23.0,17.3,25.0,15.3,30.8,25.8,8,303.9,270.3,322.0,245.3,362.5,344.1,118,2.3,1.7,2.0,1.8,2.8,2.1,19,2.1,1.7,2.0,1.5,2.8,1.8,10,19.7,1,38,3,27,--,5,99,24,13,7.4,2,106,10
Washington,2016,10,2,46.9,47.3,31.0,48.0,45.3,29.1,20,483.4,528.7,385.0,451.3,526.3,391.3,8,17.6,20.7,24.0,12.5,24.3,20.3,19,346.3,370.0,376.0,291.0,420.0,363.5,3,0.7,0.7,1.0,0.8,0.7,1.8,12,2.1,1.3,0.0,2.5,1.7,2.2,4,28.5,1,48,6,24,--,2,58,22,38,2.2,8,103,49
Michigan,2016,10,3,46.6,50.3,32.0,43.8,55.0,31.4,24,477.1,532.3,436.0,463.5,518.0,395.8,1,11.6,10.3,23.0,11.7,11.5,16.4,1,231.3,204.0,401.0,235.0,220.0,280.5,7,0.8,1.0,1.0,0.7,1.0,1.2,55,1.6,1.3,1.0,1.8,1.0,0.9,1,34.0,1,56,1,21,--,10,61,20,19,5.3,2,75,18
Oklahoma,2016,10,4,45.4,53.3,56.0,44.3,46.5,43.5,4,568.1,634.0,538.0,523.0,613.3,530.2,87,32.5,26.3,3.0,20.5,44.5,22.0,82,437.6,453.0,170.0,324.5,550.8,364.8,69,1.6,0.7,1.0,1.3,2.0,1.4,109,1.1,1.3,2.0,0.8,1.5,2.1,13,18.4,2,59,21,15,5.6,3,41,15,15,6.5,1,18,13
Texas Tech,2016,10,5,44.3,34.3,27.0,47.5,40.0,43.9,2,581.3,526.0,345.0,630.0,516.3,576.8,126,44.9,46.0,24.0,44.5,45.3,43.5,126,539.6,640.7,418.0,593.0,468.3,540.3,49,1.4,1.7,2.0,1.3,1.7,1.8,128,0.4,0.3,1.0,0.5,0.3,1.8,59,1.5,17,78,54,63,--,6,90,66,41,1.5,32,88,42
Alabama,2016,10,6,43.9,43.7,33.0,38.3,49.5,33.6,14,498.0,520.7,451.0,479.0,517.0,428.8,4,14.9,18.0,14.0,7.5,22.3,15.8,3,275.1,304.7,278.0,211.0,339.3,286.5,55,1.5,2.3,2.0,1.0,2.0,1.2,21,2.0,2.7,2.0,1.8,2.3,1.8,2,33.2,1,29,2,1,58.6,1,20,1,4,10.2,1,40,5
LA Tech,2016,10,7,42.9,53.7,61.0,48.0,39.8,35.5,7,534.0,613.0,735.0,561.0,517.8,474.3,76,30.6,22.7,16.0,25.0,34.0,27.8,80,432.5,367.3,305.0,382.3,462.6,384.3,10,0.9,1.7,1.0,0.3,1.2,1.6,79,1.4,1.7,2.0,2.0,1.0,1.6,34,7.5,24,97,53,58,--,20,94,56,82,-5.6,26,94,82
Ohio State,2016,10,8,42.6,25.0,24.0,49.0,32.0,35.7,15,492.9,418.3,431.0,535.2,422.3,434.6,5,15.1,22.3,20.0,10.0,23.7,15.1,5,301.0,391.7,406.0,247.0,391.0,311.3,7,0.8,0.3,0.0,1.0,0.3,1.4,21,2.0,1.0,1.0,2.4,1.3,1.6,6,20.7,1,24,4,26,--,6,107,26,6,9.5,1,56,8
S Florida,2016,10,9,41.9,41.3,52.0,43.0,40.0,32.2,10,510.3,503.3,629.0,564.4,420.0,433.2,80,31.5,39.3,45.0,33.2,28.7,24.6,113,488.5,508.3,616.0,487.0,491.0,397.0,32,1.3,2.0,1.0,1.8,0.3,1.2,96,1.3,0.3,1.0,0.6,2.3,1.9,38,6.2,10,61,47,34,--,20,65,32,62,-1.8,45,100,60
California,2016,10,10,41.3,40.0,24.0,43.3,40.0,35.0,6,536.5,517.3,475.0,501.7,557.4,518.2,121,41.8,47.0,45.0,38.3,43.8,32.1,120,505.9,546.0,629.0,486.7,517.4,466.8,44,1.4,1.0,2.0,0.3,2.0,1.7,41,1.8,2.0,3.0,1.0,2.2,1.8,67,-0.5,1,87,55,14,6.7,1,125,13,34,2.7,23,113,44
W Michigan,2016,10,11,40.7,43.7,45.0,46.3,36.5,34.7,19,486.1,573.0,561.0,513.7,465.5,479.3,14,19.0,20.3,31.0,30.7,10.3,29.0,26,358.4,409.3,461.0,438.3,298.5,417.6,1,0.4,1.0,2.0,0.7,0.3,1.3,12,2.1,2.0,2.0,2.7,1.8,1.4,14,16.7,8,92,13,25,--,24,117,25,75,-3.9,35,87,69
W Kentucky,2016,10,12,40.5,51.7,52.0,45.0,37.8,44.3,12,502.6,602.0,661.0,589.7,450.4,526.9,71,29.0,23.3,3.0,23.0,32.6,25.9,59,409.3,379.0,202.0,335.7,453.4,405.3,69,1.6,1.0,1.0,1.3,1.8,1.2,109,1.1,1.3,2.0,1.3,1.0,2.2,21,13.7,2,91,38,45,--,6,77,60,66,-1.9,10,116,64
Baylor,2016,10,13,40.2,42.7,34.0,41.3,39.0,46.6,3,570.2,574.7,624.0,504.0,636.3,602.7,27,21.8,28.0,35.0,14.7,29.0,28.1,55,398.7,410.0,548.0,371.3,426.0,401.3,55,1.5,1.0,2.0,2.0,1.0,1.8,3,2.7,2.3,2.0,4.3,1.0,2.0,24,11.6,6,116,18,46,--,11,126,43,63,-1.8,13,111,79
Tulsa,2016,10,14,39.9,46.7,59.0,46.0,35.3,37.2,13,500.0,540.3,596.0,546.7,465.0,507.4,93,33.4,31.7,30.0,25.7,39.3,39.8,72,427.3,474.0,508.0,363.7,475.0,537.3,103,2.0,1.7,1.0,1.0,2.8,1.5,21,2.0,2.7,4.0,1.3,2.5,1.8,32,7.7,10,90,51,51,--,3,98,74,65,-1.9,26,101,78
Pittsburgh,2016,10,15,39.6,39.3,36.0,39.5,39.7,26.8,40,446.1,403.7,458.0,457.3,431.3,370.8,108,36.0,34.7,39.0,34.8,37.7,25.2,90,450.3,430.3,556.0,419.3,491.7,359.5,11,1.0,1.0,2.0,1.3,0.7,1.1,87,1.3,0.3,0.0,1.3,1.3,1.3,35,7.3,18,85,35,36,--,36,100,37,31,2.8,15,102,40
Wash State,2016,10,16,39.4,33.0,35.0,44.7,35.5,32.7,17,486.6,422.7,552.0,505.3,472.5,474.5,33,24.3,28.0,31.0,20.0,27.5,28.0,22,353.1,361.0,498.0,324.7,374.5,427.3,22,1.1,1.3,2.0,1.0,1.3,1.9,12,2.1,1.7,0.0,2.7,1.8,2.0,15,16.4,8,119,10,31,--,26,103,27,32,2.8,21,91,26
Oregon,2016,10,17,38.7,41.3,54.0,39.3,38.0,41.5,8,518.7,531.0,734.0,570.8,449.3,522.2,124,44.3,52.3,35.0,43.0,46.0,37.2,127,549.4,595.3,468.0,532.8,571.7,480.0,11,1.0,1.3,1.0,1.0,1.0,1.3,101,1.1,1.0,3.0,1.8,0.3,1.7,69,-1.6,23,85,73,57,--,15,72,52,23,4.6,14,111,21
Toledo,2016,10,18,38.6,33.0,26.0,37.8,39.7,35.0,5,548.4,501.7,560.0,531.0,571.7,463.1,47,26.4,27.7,31.0,25.0,28.3,20.8,53,397.3,452.7,512.0,403.0,389.7,375.3,11,1.0,1.0,2.0,0.8,1.3,1.2,118,0.9,1.3,1.0,1.0,0.7,1.8,72,-3.0,3,96,45,39,--,3,67,35,96,-8.6,57,125,86
Middle Tenn,2016,10,19,38.4,45.3,42.0,40.5,37.6,31.0,9,516.6,551.7,466.0,579.0,491.6,448.1,97,34.1,41.3,35.0,39.0,32.2,27.7,111,482.0,555.7,517.0,571.5,446.2,416.3,9,0.9,0.3,0.0,0.5,1.0,2.3,45,1.7,2.0,3.0,1.0,2.0,2.0,55,2.5,16,126,40,69,--,34,127,59,81,-5.3,54,108,75
Houston,2016,10,20,38.0,28.3,31.0,37.0,38.6,39.5,32,465.8,407.7,398.0,486.7,453.2,474.8,34,24.4,31.0,24.0,23.0,25.2,20.5,11,327.4,353.3,195.0,329.7,326.0,386.8,103,2.0,3.0,4.0,2.3,1.8,1.0,55,1.6,2.3,4.0,2.0,1.4,2.6,64,0.5,5,74,33,4,25.2,2,45,4,56,-0.8,8,66,53
Oklahoma St,2016,10,21,37.7,39.7,37.0,39.2,34.0,40.2,29,474.9,433.0,358.0,470.0,487.0,471.8,74,29.3,23.7,20.0,30.0,27.5,32.3,109,479.9,441.0,421.0,476.4,488.5,457.3,22,1.1,0.3,0.0,0.6,2.5,1.2,12,2.1,3.0,3.0,2.0,2.5,2.3,25,11.3,13,64,30,47,--,2,62,39,50,0.3,16,78,57
Memphis,2016,10,21,37.7,27.3,30.0,46.0,26.7,38.3,37,452.6,446.0,508.0,466.0,434.7,484.4,64,28.6,38.3,59.0,24.0,34.7,29.0,100,457.7,480.3,596.0,433.8,489.7,430.9,93,1.9,2.7,4.0,1.3,2.7,1.2,2,2.7,1.7,1.0,3.5,1.7,1.6,85,-6.2,10,93,24,73,--,39,116,70,74,-3.4,52,128,61
New Mexico,2016,10,23,37.1,44.0,28.0,42.7,33.0,26.9,42,442.3,462.0,321.0,511.3,390.5,377.9,96,33.9,26.0,21.0,35.7,32.5,30.8,32,374.3,354.7,298.0,378.0,371.5,468.7,49,1.4,1.3,1.0,1.7,1.3,1.8,122,0.7,1.0,1.0,1.0,0.5,1.8,79,-4.8,63,124,88,19,2.2,16,118,18,120,-13.2,98,127,117
VA Tech,2016,10,24,36.3,31.0,39.0,46.7,28.5,30.1,38,449.9,515.7,556.0,487.0,422.0,368.7,21,21.1,27.7,36.0,11.0,28.8,28.3,18,344.6,461.3,458.0,310.7,370.0,379.6,49,1.4,0.7,0.0,0.3,2.3,1.8,45,1.7,1.3,2.0,1.3,2.0,1.8,8,20.4,7,84,7,124,-10.5,24,125,123,27,4.2,19,97,28
Auburn,2016,10,25,36.3,44.7,40.0,35.3,39.0,27.5,11,507.6,539.3,554.0,512.5,493.0,367.4,7,16.0,15.3,29.0,14.2,21.5,26.5,25,358.3,358.0,570.0,334.5,429.5,402.4,21,1.1,0.7,0.0,1.2,1.0,1.2,79,1.4,2.0,1.0,1.2,2.0,1.5,3,29.5,3,51,8,23,--,23,62,23,9,9.1,7,30,12
Texas,2016,10,26,36.0,27.7,35.0,38.3,33.8,26.4,16,487.8,469.3,548.0,496.5,479.0,370.8,89,32.8,21.3,34.0,23.5,42.0,30.3,103,462.6,438.3,624.0,389.0,536.3,452.6,44,1.4,1.3,2.0,1.5,1.3,1.2,79,1.4,2.0,2.0,1.0,1.8,2.1,36,7.1,18,77,44,11,10.2,10,72,12,20,5.0,20,40,25
Mississippi,2016,10,27,35.7,26.7,29.0,41.3,28.3,37.9,25,477.0,432.7,570.0,557.8,369.3,506.5,106,35.3,37.3,40.0,32.5,39.0,24.3,114,491.6,499.7,554.0,479.0,508.3,393.8,80,1.7,1.3,1.0,1.3,2.3,1.8,63,1.6,1.3,0.0,1.8,1.3,1.8,23,12.2,9,84,15,18,2.5,7,65,17,5,9.8,2,15,9
Arizona St,2016,10,28,34.6,27.7,35.0,43.5,25.8,34.6,77,388.0,317.0,468.0,416.3,359.8,472.9,117,39.5,43.7,54.0,38.3,40.8,34.5,125,526.4,558.0,734.0,513.0,539.8,474.9,69,1.6,1.7,3.0,1.3,2.0,1.4,69,1.5,1.0,1.0,2.3,0.8,1.8,71,-2.8,38,90,60,81,--,48,93,80,36,2.2,33,103,33
Troy,2016,10,29,34.3,31.0,28.0,41.5,30.8,26.5,41,444.2,492.7,585.0,427.5,452.5,358.6,19,20.3,18.3,21.0,13.5,23.8,29.4,54,397.8,337.7,340.0,478.5,357.5,392.8,78,1.7,2.0,2.0,0.5,2.3,1.7,1,2.8,2.0,1.0,4.0,2.3,1.6,43,4.7,14,90,43,44,--,20,110,41,83,-5.7,23,124,81
Texas A&M,2016,10,30,34.3,37.0,52.0,42.7,28.0,26.7,30,474.0,461.7,515.0,516.3,442.3,411.5,29,22.6,27.0,10.0,24.0,21.5,22.4,97,455.3,483.7,316.0,489.3,429.8,386.5,80,1.7,2.0,1.0,2.0,1.5,1.8,6,2.6,3.0,0.0,3.3,2.0,1.4,16,16.1,6,63,11,5,24.0,3,49,6,7,9.5,2,30,2
San Diego St,2016,10,31,33.7,33.0,40.0,37.7,30.8,31.8,55,411.6,412.7,414.0,461.0,374.5,381.1,16,19.4,6.3,13.0,16.7,21.5,17.5,7,301.6,226.0,252.0,311.7,294.0,295.0,11,1.0,0.3,0.0,1.3,0.8,0.8,33,1.9,1.7,2.0,1.7,2.0,2.2,45,4.0,14,84,61,60,--,4,85,75,97,-8.7,47,106,104
Penn State,2016,10,32,33.6,41.3,62.0,31.6,37.0,23.2,69,397.4,451.3,511.0,414.2,369.3,348.4,55,27.0,19.7,24.0,20.2,38.3,21.8,35,380.4,341.3,341.0,351.0,429.3,324.8,55,1.5,0.7,0.0,1.2,2.0,1.4,55,1.6,2.0,4.0,1.4,2.0,1.7,17,14.8,3,67,22,38,--,6,76,61,16,5.9,11,70,16
Boise State,2016,10,33,33.5,28.0,28.0,27.0,40.0,38.0,21,482.3,500.7,487.0,454.8,509.8,493.9,26,21.6,26.7,30.0,22.0,21.3,21.9,34,379.6,394.7,489.0,393.3,366.0,320.0,69,1.6,2.3,2.0,2.3,1.0,1.8,126,0.5,0.3,1.0,0.3,0.8,2.5,46,3.9,8,81,32,33,--,13,121,29,68,-2.3,35,74,62
Clemson,2016,10,34,33.4,39.0,37.0,32.0,34.5,37.7,31,468.6,506.0,511.0,475.0,463.8,513.7,18,20.1,20.3,34.0,25.7,16.0,22.5,20,348.1,365.7,449.0,450.3,271.5,320.1,125,2.6,2.3,2.0,4.0,1.5,1.8,12,2.1,1.7,1.0,2.7,1.8,1.8,5,25.0,1,34,5,22,--,2,28,21,1,11.1,1,17,3
Temple,2016,10,35,33.3,35.3,34.0,37.2,26.7,29.8,51,418.8,456.3,474.0,426.2,406.3,367.1,41,25.5,22.7,13.0,22.2,31.0,20.1,12,328.1,278.0,186.0,319.8,342.0,336.5,69,1.6,1.0,1.0,1.4,2.0,1.4,55,1.6,1.3,2.0,1.6,1.7,1.6,26,10.5,13,119,25,55,--,37,115,49,61,-1.6,51,96,54
Navy,2016,10,36,32.7,44.3,45.0,38.7,26.7,35.8,47,426.3,510.0,616.0,426.3,426.3,424.1,78,31.0,40.0,52.0,30.7,31.3,22.8,79,431.5,514.7,629.0,423.0,440.0,368.3,43,1.3,0.7,1.0,0.7,2.0,0.6,85,1.3,1.7,1.0,2.0,0.7,2.1,49,3.2,16,74,52,72,--,13,80,79,67,-2.1,44,107,66
Air Force,2016,10,37,32.4,32.7,31.0,34.3,31.0,31.5,46,426.9,454.7,424.0,456.7,404.5,446.3,44,26.1,33.3,21.0,20.7,30.3,26.9,21,348.7,393.0,349.0,291.0,392.0,367.2,37,1.3,1.3,1.0,1.3,1.3,1.8,45,1.7,2.0,4.0,1.7,1.8,1.2,92,-7.8,39,109,84,125,-13.8,40,126,125,100,-9.4,69,127,98
Colorado,2016,10,37,32.4,22.3,10.0,43.5,28.0,22.7,22,481.3,436.7,359.0,571.5,445.2,377.6,17,19.7,14.0,5.0,11.0,23.2,29.8,13,336.7,333.7,263.0,212.5,386.4,437.8,11,1.0,1.0,0.0,1.0,1.0,1.7,7,2.4,3.0,4.0,1.5,2.8,1.6,11,19.5,2,60,12,3,30.0,1,84,3,11,7.8,9,115,15
Wyoming,2016,10,39,32.3,35.7,30.0,35.0,30.3,19.5,50,421.1,464.3,489.0,446.3,402.3,363.5,79,31.1,29.3,28.0,29.3,32.5,34.9,107,470.9,434.3,487.0,428.7,502.5,421.6,62,1.6,0.7,1.0,0.7,2.3,1.9,12,2.1,2.3,2.0,2.3,2.0,0.9,56,2.1,32,105,69,75,--,26,106,73,86,-5.9,37,106,92
Florida St,2016,10,39,32.3,23.7,34.0,28.7,35.0,30.0,18,486.3,432.7,449.0,495.3,479.5,423.7,90,33.0,20.7,37.0,26.7,37.8,17.8,63,419.6,346.3,511.0,433.7,409.0,342.6,37,1.3,2.0,1.0,1.7,1.0,1.2,21,2.0,2.0,2.0,2.0,2.0,1.1,18,14.7,5,64,26,6,22.8,3,64,5,3,10.5,1,22,7
Nebraska,2016,10,41,32.0,23.7,17.0,37.6,22.7,32.8,45,429.8,358.3,305.0,443.4,407.0,446.9,13,18.4,19.7,23.0,17.8,19.3,27.8,17,342.4,335.0,337.0,336.2,352.7,400.4,44,1.4,1.7,2.0,1.0,2.0,2.1,21,2.0,2.0,2.0,2.0,2.0,1.2,30,8.7,9,78,34,32,--,25,105,33,43,1.2,22,106,68
S Mississippi,2016,10,42,31.3,22.0,24.0,33.0,30.0,39.0,28,475.4,424.3,474.0,532.3,432.8,509.2,81,31.6,38.0,14.0,26.3,35.5,27.1,28,367.6,405.7,226.0,293.7,423.0,394.2,119,2.3,1.7,1.0,2.3,2.3,1.8,101,1.1,0.3,0.0,0.3,1.8,1.8,98,-10.8,34,119,96,84,--,25,116,87,99,-8.8,51,113,99
TX Christian,2016,10,43,30.9,19.3,24.0,37.3,22.3,39.8,33,462.9,361.3,418.0,496.3,418.3,557.5,64,28.6,28.0,27.0,35.0,20.0,28.9,56,402.3,401.3,345.0,409.3,393.0,417.7,80,1.7,2.7,1.0,1.0,2.7,1.5,72,1.4,2.0,2.0,1.0,2.0,1.3,61,1.2,33,89,42,65,--,19,107,57,60,-1.2,17,93,55
USC,2016,10,44,30.4,38.0,45.0,38.0,22.8,33.9,34,462.5,580.7,629.0,528.3,396.8,437.9,31,24.0,18.3,24.0,17.0,31.0,25.7,43,383.8,396.3,475.0,350.5,417.0,400.4,69,1.6,2.3,3.0,2.0,1.3,0.9,55,1.6,2.3,2.0,1.3,2.0,1.6,12,18.6,1,103,17,126,-14.7,20,127,126,12,7.7,1,20,11
N Illinois,2016,10,45,30.3,34.0,44.0,33.3,28.0,29.2,39,449.0,444.7,511.0,408.7,479.3,379.7,98,34.3,28.7,7.0,27.7,39.3,27.8,110,481.7,465.0,338.0,408.7,536.5,421.0,62,1.6,1.7,1.0,1.7,1.5,1.9,72,1.4,2.3,4.0,2.7,0.5,2.0,86,-6.4,57,115,87,79,--,63,119,82,79,-5.1,29,88,80
Notre Dame,2016,10,46,30.3,14.3,30.0,28.4,33.3,34.2,54,413.5,277.0,411.0,419.4,403.7,466.8,58,27.6,18.0,27.0,25.6,31.0,24.1,47,388.1,266.7,306.0,380.2,401.3,373.1,99,1.9,2.3,2.0,2.2,1.3,1.5,96,1.3,2.0,1.0,1.4,1.0,1.1,44,4.3,15,70,70,9,14.6,9,63,9,37,2.2,9,58,41
Central FL,2016,10,47,30.1,24.3,24.0,24.5,32.4,13.8,99,364.4,297.0,195.0,375.5,360.0,268.2,60,28.1,24.3,31.0,28.0,28.2,39.6,46,386.4,391.7,398.0,368.5,393.6,482.4,93,1.9,1.7,4.0,2.5,1.6,2.6,45,1.7,2.0,4.0,1.0,2.0,1.1,27,9.7,27,104,37,41,--,32,127,36,53,-0.3,53,125,65
TX-San Ant,2016,10,48,30.0,31.3,31.0,40.8,15.7,22.6,93,372.6,392.3,318.0,424.3,303.7,362.6,69,28.9,27.3,17.0,33.3,23.0,33.8,76,429.0,401.3,409.0,469.8,374.7,444.1,3,0.7,0.7,0.0,0.3,1.3,1.9,45,1.7,2.0,4.0,2.8,0.3,1.8,97,-10.8,70,123,97,105,--,73,124,103,121,-13.5,99,124,116
W Virginia,2016,10,48,30.0,34.0,20.0,25.7,34.3,33.4,27,476.2,486.7,421.0,435.0,517.3,479.3,20,20.5,21.3,37.0,12.3,28.7,25.3,44,384.3,345.7,358.0,349.3,419.3,398.5,78,1.7,1.0,3.0,1.7,1.7,1.8,54,1.7,1.3,0.0,1.7,1.7,2.6,19,14.4,16,56,19,12,10.0,10,63,11,30,3.2,25,63,31
Utah,2016,10,50,29.9,31.7,24.0,27.8,32.0,30.6,48,425.5,410.7,376.0,412.5,438.5,362.9,41,25.5,30.0,31.0,25.0,26.0,22.3,49,391.0,397.3,385.0,413.5,368.5,366.8,69,1.6,1.3,0.0,1.8,1.5,1.6,4,2.6,2.7,1.0,2.5,2.8,2.6,31,8.1,21,119,28,48,--,36,117,45,35,2.6,30,121,43
Maryland,2016,10,51,29.9,24.7,36.0,29.3,30.3,22.4,59,410.1,418.3,517.0,411.3,409.3,365.5,35,24.7,30.0,42.0,18.3,29.5,35.6,66,420.4,462.3,650.0,314.0,500.3,434.4,62,1.6,2.3,2.0,2.3,1.0,3.2,87,1.3,0.7,0.0,1.0,1.5,1.6,65,0.2,25,106,56,62,--,20,119,58,69,-2.4,53,119,76
Kansas St,2016,10,52,29.7,24.0,31.0,43.7,19.3,29.6,95,370.7,381.3,398.0,413.7,338.5,333.6,35,24.7,28.3,26.0,22.0,26.8,34.1,58,407.9,452.7,493.0,386.0,424.3,467.8,11,1.0,1.0,0.0,1.3,0.8,1.5,72,1.4,0.7,1.0,1.7,1.3,1.2,42,5.1,8,56,41,56,--,8,56,51,29,3.5,1,47,24
Florida,2016,10,53,29.4,25.7,24.0,35.3,21.7,23.2,68,398.6,330.0,231.0,480.3,289.7,336.1,2,11.7,10.0,10.0,7.0,18.0,18.3,2,239.9,264.0,164.0,188.0,309.0,310.2,49,1.4,2.0,1.0,1.5,1.3,1.2,33,1.9,2.0,0.0,2.0,1.7,1.8,20,14.4,14,82,14,8,17.3,8,76,42,47,0.6,16,122,47
Old Dominion,2016,10,54,29.3,30.3,31.0,34.5,27.2,24.3,65,402.6,415.0,393.0,483.5,370.2,363.2,75,30.3,32.0,21.0,17.5,35.4,38.1,64,419.7,452.3,337.0,369.0,440.0,455.6,3,0.7,0.7,1.0,0.0,1.0,1.6,45,1.7,1.7,2.0,2.0,1.6,1.5,82,-5.1,64,125,89,96,--,67,114,98,112,-11.5,73,125,108
Tennessee,2016,10,55,29.3,23.0,21.0,24.0,34.5,33.5,86,381.5,381.3,297.0,346.0,417.0,420.7,72,29.1,39.3,24.0,27.3,31.0,20.8,60,414.4,503.7,325.0,401.5,427.3,370.0,123,2.5,3.7,3.0,1.5,3.5,1.0,32,1.9,1.7,0.0,1.3,2.5,1.3,40,6.1,7,49,39,2,35.2,2,51,2,10,9.0,5,64,6
Akron,2016,10,55,29.3,18.3,20.0,24.3,32.2,21.6,87,378.6,372.7,306.0,356.0,392.2,336.3,107,35.5,35.7,41.0,33.0,37.0,22.5,117,495.3,515.3,518.0,477.3,506.0,342.3,55,1.5,1.3,1.0,1.3,1.6,1.3,79,1.4,1.0,1.0,1.7,1.2,2.2,108,-13.8,71,127,92,88,--,65,116,68,98,-8.8,62,123,89
LSU,2016,10,57,29.2,41.7,38.0,37.0,13.5,32.8,44,432.7,536.3,516.0,500.3,297.5,437.3,6,15.3,12.7,21.0,14.5,17.0,24.3,9,304.8,277.3,325.0,275.5,363.5,347.2,55,1.5,1.3,3.0,1.3,2.0,0.8,69,1.5,1.3,2.0,1.3,2.0,1.4,7,20.6,4,57,9,10,13.3,5,24,10,14,6.9,4,26,14
N Carolina,2016,10,58,29.1,19.3,35.0,20.0,32.8,39.7,60,409.4,360.0,488.0,301.0,452.8,482.2,53,26.9,20.3,14.0,35.0,23.6,26.3,40,382.7,293.3,253.0,342.5,398.8,461.2,37,1.3,2.0,2.0,2.5,0.8,1.5,112,1.0,1.3,1.0,1.5,0.8,1.8,29,8.9,18,52,29,122,-5.7,10,124,122,21,4.8,11,50,22
Iowa,2016,10,58,29.1,24.0,9.0,31.8,25.7,30.9,98,364.9,359.0,236.0,339.5,398.7,382.8,12,18.3,19.7,17.0,19.8,16.3,20.8,33,379.4,398.7,423.0,375.0,385.3,349.5,2,0.6,1.0,0.0,0.3,1.0,1.2,63,1.6,1.7,1.0,1.5,1.7,2.1,50,3.2,16,74,48,49,--,24,122,47,72,-3.0,21,125,71
Minnesota,2016,10,60,28.4,35.0,40.0,25.5,32.3,22.5,106,346.7,331.0,283.0,341.0,354.3,358.9,24,21.3,19.7,17.0,23.3,18.7,25.2,16,340.9,302.7,245.0,344.8,335.7,345.9,22,1.1,0.7,0.0,1.8,0.3,1.7,7,2.4,3.3,3.0,2.5,2.3,1.4,33,7.6,12,85,49,29,--,12,68,30,71,-2.8,49,122,73
